,datetime,latitude,longitude,city,state,duration,shape,comments
220,2009-10-10 12:00:00,38.8697222,-106.9872222,crested butte,co,60,egg,metallic egg shaped craft above crested butte&#44 CO.  Also have seen great amount of activity READ ME&#33
221,2009-10-10 12:42:00,36.1538889,-95.9925,tulsa,ok,6,unknown,In&#39t see nothing in the park
222,2009-10-10 16:24:00,34.1111111,-109.2908333,eagar,az,180,unknown,Second sighting was only 150 feet away.  Observations between two sightings.
223,2009-10-10 19:30:00,36.7280556,-76.5838889,suffolk,va,900,unknown,It looked sort of lime green.  It appeared to have an odd texture.  It had a dimples on its surface.  It was not smooth at all.  It jus
224,2009-10-10 20:30:00,33.8352778,-117.9136111,anaheim,ca,300,light,UFO over Disneyland.
225,2009-10-10 20:45:00,34.2255556,-77.945,wilmington,nc,600,light,Two lights seen with a lighting of something strobe like near the ground.
226,2009-10-10 21:00:00,39.1155556,-77.5638889,leesburg,va,300,disk,Two large glowing amber/dark orangish colored circular disks-not a sound-
227,2009-10-10 22:30:00,48.1191667,-96.1808333,thief river falls,mn,0,other,2 orange orbs over airport
228,2009-10-10 23:00:00,41.7075,-86.895,michigan city,in,900,changing,black object that seemed to impode into a sphere and vanish&#44 only to reappear in the same shape and move location
229,2009-10-10 23:23:00,37.3230556,-122.0311111,cupertino,ca,180,light,Bright red light object made random moves horizontally and floated for a while and then went up vertically.
230,2010-10-10 01:00:00,42.7675,-78.7441667,orchard park,ny,7200,light,Xmas colored rotating lights.  ((NUFORC Note:  Twinkling stars??  PD))
231,2010-10-10 02:30:00,40.2736111,-76.8847222,harrisburg,pa,240,circle,possible UFO sighting
232,2010-10-10 03:00:00,41.5930556,-81.5269444,euclid,oh,180,circle,2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie
233,2010-10-10 08:30:00,34.3769444,-82.6958333,starr,sc,600,formation,Strange orange lights in the night sky
235,2010-10-10 12:00:00,41.0263889,-73.6288889,greenwich,ct,240,light,&quot;Star&quot; like objects during clear day light in formation.
236,2010-10-10 13:00:00,32.8544444,-79.975,north charleston,sc,180,light,Object(s) visible 3 times at same place in the sky at during day in Chas&#44 SC
238,2010-10-10 16:30:00,38.7891667,-77.1875,springfield,va,15,cigar,Metalic cigar shaped object sighted during lull in a storm in Springfield&#44 VA
239,2010-10-10 17:10:00,41.1669444,-73.2052778,bridgeport,ct,600,light,Saw a light in the sky fading in and out over Bridgeport&#44 CT.
240,2010-10-10 18:30:00,45.4077778,-122.5691667,clackamas,or,120,triangle,triangular ufo sighting in oregon 10-10-10
241,2010-10-10 20:00:00,31.4636111,-100.4366667,san angelo,tx,60,oval,I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous
242,2010-10-10 20:20:00,41.8525,-72.6441667,windsor,ct,5,fireball,Bus sized fireball object over 91 about 3-400 ft up going about 150 mph at a downward 20 degree angle.
243,2010-10-10 20:45:00,41.7886111,-89.6961111,sterling,il,600,cylinder,It had rows of white lights with red lights pulsating in between them
244,2010-10-10 21:00:00,47.9791667,-122.2008333,everett,wa,30,other,crown shaped object with two orange lights over everett wa
